;fips;INTPTLAT;INTPTLON
0;39063;41.0004711;-83.6660335
1;51179;38.413260799999996;-77.4513342
2;31181;40.180646100000004;-98.4985897
3;48127;28.423587100000006;-99.7658713
4;19031;41.77236;-91.1326105
5;46039;44.7562899;-96.69023929999999
6;19089;43.3653125;-92.3219084
7;12099;26.6491257;-80.4483542
8;36089;44.4881125;-75.074311
9;46025;44.8552107;-97.72491240000001
10;31057;40.180165;-101.6811327
11;08003;37.568442299999994;-105.78804140000001
12;12017;28.8436402;-82.52480990000001
13;45089;33.6264617;-79.716474
14;55127;42.6681095;-88.5417306
15;18161;39.6231109;-84.9251523
16;27067;45.15271370000001;-95.0049812
17;23029;44.9670088;-67.6093542
18;72103;18.2110697;-65.735749
19;37093;35.017232799999995;-79.2419635
20;27161;44.0184598;-93.5898443
21;16049;45.849644;-115.46733710000001
22;31087;40.1768964;-101.044217
23;30011;45.5168247;-104.5153243
24;38005;48.071743;-99.3511517
25;19181;41.332445899999996;-93.5687512
26;42073;40.9927352;-80.3344455
27;51101;37.7082604;-77.0910539
28;41011;43.185909499999994;-124.0941335
29;48165;32.7439423;-102.63156140000001
30;22047;30.270628499999997;-91.3658481
31;12037;29.8101756;-84.79917420000001
32;38023;48.814753700000004;-103.5093256
33;17181;37.4856521;-89.2446391
34;45013;32.358112;-80.6894218
35;55023;43.24991;-90.9512302
36;48303;33.6114688;-101.81994379999999
37;12029;29.5808994;-83.1956656
38;13303;32.9718435;-82.7981123
39;53063;47.620375200000005;-117.40337140000001
40;54055;37.4034477;-81.10645600000001
41;12033;30.611638199999998;-87.33889959999999
42;40103;36.384901;-97.2363345
43;37187;35.844713;-76.5722906
44;17109;40.45580820000001;-90.6789543
45;34025;40.2870481;-74.1524456
46;40041;36.3933755;-94.808217
47;20011;37.8560997;-94.85092840000002
48;06029;35.3466288;-118.7295064
49;54007;38.6993304;-80.73165970000001
50;37081;36.079065;-79.7886652
51;01107;33.296793300000004;-88.0968631
52;08107;40.483663799999995;-106.98770209999999
53;51590;36.583333700000004;-79.40807070000001
54;54087;38.742949700000004;-81.3544939
55;17201;42.3373957;-89.16120529999999
56;60050;-14.335467999999999;-170.7842335
57;48047;27.0349936;-98.2152756
58;17123;41.031119200000006;-89.3423714
59;26069;44.3294821;-82.8494444
60;31051;42.485280100000004;-96.8558616
61;13001;31.739712;-82.2901025
62;48073;31.843880699999996;-95.15634250000001
63;27023;45.028625399999996;-95.5641082
64;28047;30.4165357;-89.0833762
65;53039;45.8704463;-120.77930490000001
66;30067;45.421429100000005;-110.5327601
67;13149;33.2913469;-85.13788620000001
68;48297;28.351534899999997;-98.1269608
69;08125;40.0007703;-102.4216491
70;16005;42.6929211;-112.22898190000001
71;48493;29.173883;-98.08673359999999
72;18181;40.750949600000006;-86.8642934
73;47117;35.468343299999994;-86.765865
74;55141;44.461412599999996;-90.03882519999999
75;13067;33.939929799999994;-84.5741123
76;08019;39.669732;-105.69256999999999
77;48217;31.982680900000002;-97.130668
78;31033;41.2142358;-103.01192890000002
79;20079;38.0501436;-97.4367065
80;72027;18.4454691;-66.863134
81;51115;37.4253479;-76.2688078
82;36067;43.006516299999994;-76.1961336
83;49007;39.673284;-110.58848449999999
84;42027;40.909127500000004;-77.8478769
85;54067;38.2914318;-80.79751479999999
